name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng,full_address,sido,gu,dong,shared_location_count,store_type,review_rank
번쩍피자-관악점,"{'lat': '37.485710811816624', 'lng': '126.93785568686478'}","['피자/양식', '야식', '포장', '프랜차이즈']","{'average_rating': 5.0, 'count': 2598, 'image_count': 2430, 'reply_count': 2458}",5,2598,2430,2458,37.48571081,126.9378557,서울특별시 관악구 봉천로25길 9,서울,관악구,봉천동,1,독립 매장,78
무식한김치찜-관악점,"{'lat': '37.4871632', 'lng': '126.93368559'}","['찜/탕', '한식', '포장', '야식']","{'average_rating': 4.9, 'count': 2329, 'image_count': 1868, 'reply_count': 970}",4.9,2329,1868,970,37.4871632,126.9336856,서울특별시 관악구 봉천로 293,서울,관악구,봉천동,3,소규모 샵인샵,88
백돈-관악점,"{'lat': '37.48270167330091', 'lng': '126.91612264141901'}","['한식', '일식/돈까스', '도시락/죽', '프랜차이즈', '포장']","{'average_rating': 5.0, 'count': 1294, 'image_count': 1112, 'reply_count': 343}",5,1294,1112,343,37.48270167,126.9161226,서울특별시 관악구 남부순환로149길 10,서울,관악구,신림동,1,독립 매장,141
치포킹치킨과포테이토의킹왕짱콜라보-신림스타점,"{'lat': '37.485897', 'lng': '126.93839049'}","['분식', '고기/구이', '야식', '치킨', '포장', '1인분주문']","{'average_rating': 5.0, 'count': 3, 'image_count': 3, 'reply_count': 0}",5,3,3,0,37.485897,126.9383905,서울특별시 관악구 은천로 28,서울,관악구,봉천동,7,대규모 공유주방,1072
나는문어타코야끼-봉천점,"{'lat': '37.4857221', 'lng': '126.93696214'}","['분식', '카페/디저트', '일식/돈까스', '포장', '야식', '프랜차이즈']","{'average_rating': 4.8, 'count': 63, 'image_count': 70, 'reply_count': 0}",4.8,63,70,0,37.4857221,126.9369621,서울특별시 관악구 봉천로 327,서울,관악구,봉천동,5,대규모 공유주방,667
동네에중식맛집없어서내가차린중국집-신림점,"{'lat': '37.4844866', 'lng': '126.93582351'}","['중국집', '포장', '야식']","{'average_rating': 4.6, 'count': 69, 'image_count': 68, 'reply_count': 0}",4.6,69,68,0,37.4844866,126.9358235,서울특별시 관악구 남부순환로 1668,서울,관악구,신림동,10,대규모 공유주방,649
지랄닭발-봉천점,"{'lat': '37.4866591544311', 'lng': '126.937994248837'}","['한식', '야식', '프랜차이즈', '분식', '포장']","{'average_rating': 4.9, 'count': 502, 'image_count': 455, 'reply_count': 22}",4.9,502,455,22,37.48665915,126.9379942,서울특별시 관악구 은천로5길 7,서울,관악구,봉천동,1,독립 매장,281
무궁김치찜-관악본점,"{'lat': '37.4866001', 'lng': '126.92262967'}","['찜/탕', '한식', '포장', '고기/구이', '야식', '1인분주문']","{'average_rating': 4.9, 'count': 480, 'image_count': 406, 'reply_count': 460}",4.9,480,406,460,37.4866001,126.9226297,서울특별시 관악구 관천로 91,서울,관악구,신림동,1,독립 매장,289
인생아구찜-관악점,"{'lat': '37.4792465', 'lng': '126.94450299'}","['찜/탕', '한식', '포장', '프랜차이즈']","{'average_rating': 5.0, 'count': 319, 'image_count': 263, 'reply_count': 14}",5,319,263,14,37.4792465,126.944503,서울특별시 관악구 쑥고개로16길 3,서울,관악구,봉천동,1,독립 매장,354
탐나종합어시장-신림점,"{'lat': '37.4890276', 'lng': '126.92792392'}","['한식', '야식', '일식/돈까스', '회/초밥', '포장', '프랜차이즈']","{'average_rating': 4.9, 'count': 280, 'image_count': 256, 'reply_count': 162}",4.9,280,256,162,37.4890276,126.9279239,서울특별시 관악구 신림로 391,서울,관악구,신림동,1,독립 매장,382
그때 그 닭강정,"{'lat': '37.483562197687', 'lng': '126.921554020637'}","['야식', '치킨', '포장']","{'average_rating': 5.0, 'count': 1044, 'image_count': 839, 'reply_count': 688}",5,1044,839,688,37.4835622,126.921554,서울특별시 관악구 남부순환로161길 6,서울,관악구,신림동,1,독립 매장,165
김치찜을부탁해-신림본점,"{'lat': '37.4855486', 'lng': '126.93730386'}","['찜/탕', '한식', '야식', '포장', '1인분주문']","{'average_rating': 4.9, 'count': 2583, 'image_count': 2038, 'reply_count': 676}",4.9,2583,2038,676,37.4855486,126.9373039,서울특별시 관악구 봉천로 331,서울,관악구,봉천동,1,독립 매장,79
백억커피-서원역점,"{'lat': '37.4773987', 'lng': '126.9376734'}","['카페/디저트', '포장', '프랜차이즈', '야식']","{'average_rating': 4.8, 'count': 320, 'image_count': 216, 'reply_count': 0}",4.8,320,216,0,37.4773987,126.9376734,서울특별시 관악구 쑥고개로 3,서울,관악구,신림동,3,소규모 샵인샵,353
뉴요커피자-신림점,"{'lat': '37.4840248', 'lng': '126.92243307'}","['피자/양식', '치킨', '포장', '야식', '신규맛집']","{'average_rating': 5.0, 'count': 11, 'image_count': 13, 'reply_count': 8}",5,11,13,8,37.4840248,126.9224331,서울특별시 관악구 관천로11길 46,서울,관악구,신림동,1,독립 매장,949
삼겹당-관악직영점,"{'lat': '37.4789584', 'lng': '126.93241932'}","['한식', '고기/구이', '야식', '포장']","{'average_rating': 4.9, 'count': 216, 'image_count': 186, 'reply_count': 182}",4.9,216,186,182,37.4789584,126.9324193,서울특별시 관악구 신림로48길 6,서울,관악구,신림동,2,소규모 샵인샵,446
롯데리아-신림역점,"{'lat': '37.4838706463823', 'lng': '126.929300767457'}","['프랜차이즈', '치킨', '버거', '야식', '포장']","{'average_rating': 4.5, 'count': 6678, 'image_count': 3290, 'reply_count': 2170}",4.5,6678,3290,2170,37.48387065,126.9293008,서울특별시 관악구 남부순환로 1610,서울,관악구,신림동,1,독립 매장,18
명품김치보쌈&한식요리전문점개화식당,"{'lat': '37.4792774', 'lng': '126.92664336'}","['찜/탕', '족발/보쌈', '포장', '고기/구이']","{'average_rating': 5.0, 'count': 1472, 'image_count': 1390, 'reply_count': 274}",5,1472,1390,274,37.4792774,126.9266434,서울특별시 관악구 문성로 205,서울,관악구,신림동,1,독립 매장,131
국밥회관-봉천점,"{'lat': '37.490775892303546', 'lng': '126.9300021802972'}","['찜/탕', '한식', '포장', '1인분주문']","{'average_rating': 4.9, 'count': 247, 'image_count': 216, 'reply_count': 224}",4.9,247,216,224,37.49077589,126.9300022,서울특별시 관악구 당곡2길 20,서울,관악구,봉천동,1,독립 매장,414
돈돼후야시장돼지갈비후라이드-관악본점,"{'lat': '37.4867629', 'lng': '126.94082561'}","['분식', '야식', '치킨', '포장', '프랜차이즈', '1인분주문']","{'average_rating': 4.9, 'count': 25, 'image_count': 23, 'reply_count': 23}",4.9,25,23,23,37.4867629,126.9408256,서울특별시 관악구 은천로9길 14,서울,관악구,봉천동,5,대규모 공유주방,830
