name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng,full_address,sido,gu,dong
와떠마라탕-상도점,"{'lat': '37.5030099', 'lng': '126.93504583'}","['중국집', '찜/탕', '아시안', '야식', '포장']","{'average_rating': 5.0, 'count': 2162, 'image_count': 1925, 'reply_count': 38}",5.0,2162.0,1925.0,38.0,37.5030099,126.93504583,서울특별시 동작구 상도로19길 14,서울,동작구,상도동
삼합1인도시락,"{'lat': '37.4837611', 'lng': '126.95382872'}","['한식', '족발/보쌈', '도시락/죽', '포장']","{'average_rating': 4.9, 'count': 71, 'image_count': 57, 'reply_count': 71}",4.9,71.0,57.0,71.0,37.4837611,126.95382872,서울특별시 관악구 중앙길 7,서울,관악구,봉천동
오늘덮밥-신림점,"{'lat': '37.4874494', 'lng': '126.93312628'}","['샐러드', '한식', '야식', '도시락/죽']","{'average_rating': 5.0, 'count': 13, 'image_count': 11, 'reply_count': 13}",5.0,13.0,11.0,13.0,37.4874494,126.93312628,서울특별시 관악구 봉천로 287,서울,관악구,봉천동
옐로우캔-독산직영점,"{'lat': '37.4758977', 'lng': '126.90335159'}","['분식', '카페/디저트', '야식', '샌드위치', '포장']","{'average_rating': 4.9, 'count': 803, 'image_count': 651, 'reply_count': 266}",4.9,803.0,651.0,266.0,37.4758977,126.90335159,서울특별시 금천구 독산로 325,서울,금천구,독산동
BHC-신대방스타점,"{'lat': '37.4967546254854', 'lng': '126.928043500709'}","['프랜차이즈', '치킨', '포장']","{'average_rating': 4.8, 'count': 6532, 'image_count': 5136, 'reply_count': 1824}",4.8,6532.0,5136.0,1824.0,37.4967546254854,126.928043500709,서울특별시 동작구 보라매로 84,서울,동작구,신대방동
숙성고기육칠이-봉천점,"{'lat': '37.4866282781371', 'lng': '126.94448980015'}","['한식', '고기/구이', '포장', '야식', '프랜차이즈']","{'average_rating': 5.0, 'count': 205, 'image_count': 172, 'reply_count': 111}",5.0,205.0,172.0,111.0,37.4866282781371,126.94448980015,서울특별시 관악구 은천로 84,서울,관악구,봉천동
육회바른연어-봉천점,"{'lat': '37.4865536', 'lng': '126.94893011'}","['포장', '한식', '일식/돈까스', '야식', '회/초밥', '프랜차이즈']","{'average_rating': 4.9, 'count': 5549, 'image_count': 5135, 'reply_count': 177}",4.9,5549.0,5135.0,177.0,37.4865536,126.94893011,서울특별시 관악구 은천로 124,서울,관악구,봉천동
두찜-관악신림점,"{'lat': '37.4664244', 'lng': '126.93679148'}","['찜/탕', '한식', '프랜차이즈', '야식']","{'average_rating': 4.9, 'count': 523, 'image_count': 464, 'reply_count': 145}",4.9,523.0,464.0,145.0,37.4664244,126.93679148,서울특별시 관악구 대학14길 18,서울,관악구,신림동
피자보이시나-노량진점,"{'lat': '37.5118694', 'lng': '126.94539633'}","['피자/양식', '포장']","{'average_rating': 5.0, 'count': 9108, 'image_count': 8621, 'reply_count': 4081}",5.0,9108.0,8621.0,4081.0,37.5118694,126.94539633,서울특별시 동작구 만양로14길 21,서울,동작구,노량진동
전통숙성황실김치찜&찌개-봉천점,"{'lat': '37.4797687', 'lng': '126.95751774'}","['찜/탕', '한식', '고기/구이', '포장', '야식', '프랜차이즈', '신규맛집']","{'average_rating': 4.7, 'count': 11, 'image_count': 10, 'reply_count': 1}",4.7,11.0,10.0,1.0,37.4797687,126.95751774,서울특별시 관악구 남부순환로 1869,서울,관악구,봉천동
꽉찬소곱창-본점,"{'lat': '37.4805773', 'lng': '126.94742874'}","['포장', '한식', '야식', '고기/구이', '프랜차이즈']","{'average_rating': 4.9, 'count': 986, 'image_count': 985, 'reply_count': 33}",4.9,986.0,985.0,33.0,37.4805773,126.94742874,서울특별시 관악구 청룡3길 22,서울,관악구,봉천동
버거스올마이티-봉천점,"{'lat': '37.482488', 'lng': '126.94082365'}","['피자/양식', '버거', '포장', '프랜차이즈']","{'average_rating': 4.9, 'count': 154, 'image_count': 117, 'reply_count': 21}",4.9,154.0,117.0,21.0,37.482488,126.94082365,서울특별시 관악구 남부순환로 1718,서울,관악구,봉천동
동대문엽기떡볶이-신대방삼거리점,"{'lat': '37.500353090604', 'lng': '126.932216911228'}","['분식', '프랜차이즈', '포장']","{'average_rating': 4.8, 'count': 679, 'image_count': 507, 'reply_count': 0}",4.8,679.0,507.0,0.0,37.500353090604,126.932216911228,서울특별시 동작구 성대로 3,서울,동작구,상도동
김치찜참잘하는집-관악점,"{'lat': '37.4842091', 'lng': '126.94031621'}","['찜/탕', '한식', '고기/구이', '포장', '프랜차이즈', '1인분주문']","{'average_rating': 4.9, 'count': 714, 'image_count': 641, 'reply_count': 713}",4.9,714.0,641.0,713.0,37.4842091,126.94031621,서울특별시 관악구 봉천로 361,서울,관악구,봉천동
국제통닭-신림점,"{'lat': '37.4853218', 'lng': '126.93356031'}","['야식', '치킨', '포장', '1인분주문', '프랜차이즈']","{'average_rating': 4.5, 'count': 10, 'image_count': 8, 'reply_count': 0}",4.5,10.0,8.0,0.0,37.4853218,126.93356031,서울특별시 관악구 남부순환로187길 10,서울,관악구,신림동
뚜레쥬르-신대방역점,"{'lat': '37.4857411028096', 'lng': '126.913546177466'}","['카페/디저트', '프랜차이즈', '포장', '샌드위치']","{'average_rating': 4.8, 'count': 584, 'image_count': 518, 'reply_count': 0}",4.8,584.0,518.0,0.0,37.4857411028096,126.913546177466,서울특별시 관악구 난곡로 355-1,서울,관악구,신림동
88서울돼지불백-본점,"{'lat': '37.4872538', 'lng': '126.91014475'}","['한식', '고기/구이', '야식', '포장']","{'average_rating': 4.9, 'count': 458, 'image_count': 372, 'reply_count': 436}",4.9,458.0,372.0,436.0,37.4872538,126.91014475,서울특별시 동작구 대림로 28,서울,동작구,신대방동
