name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng
호이안쌀국수-동작점,"{'lat': '37.5007066', 'lng': '126.9467424'}","['아시안', '포장', '야식', '1인분주문', '신규맛집']","{'average_rating': 4.0, 'count': 1, 'image_count': 2, 'reply_count': 1}",4.0,1.0,2.0,1.0,37.5007066,126.9467424
푸짐피자-구로본점,"{'lat': '37.5003689', 'lng': '126.88992468'}","['피자/양식', '야식', '포장']","{'average_rating': 5.0, 'count': 8, 'image_count': 8, 'reply_count': 0}",5.0,8.0,8.0,0.0,37.5003689,126.88992468
장수통닭-시흥중앙점,"{'lat': '37.4624432', 'lng': '126.90820902'}","['고기/구이', '치킨', '포장', '프랜차이즈']","{'average_rating': 4.6, 'count': 9, 'image_count': 8, 'reply_count': 8}",4.6,9.0,8.0,8.0,37.4624432,126.90820902
육회만드는사람들-서울구로점,"{'lat': '37.4854726', 'lng': '126.89822308'}","['고기/구이', '프랜차이즈', '포장', '회/초밥']","{'average_rating': 4.9, 'count': 17, 'image_count': 12, 'reply_count': 9}",4.9,17.0,12.0,9.0,37.4854726,126.89822308
현대회수산시장,"{'lat': '37.4667382', 'lng': '126.8973853'}","['일식/돈까스', '야식', '포장']","{'average_rating': 4.8, 'count': 99, 'image_count': 106, 'reply_count': 0}",4.8,99.0,106.0,0.0,37.4667382,126.8973853
사골집-본점,"{'lat': '37.4805773', 'lng': '126.94742874'}","['찜/탕', '한식', '포장', '야식']","{'average_rating': 5.0, 'count': 2, 'image_count': 2, 'reply_count': 1}",5.0,2.0,2.0,1.0,37.4805773,126.94742874
떡볶이ZIP-신림점,"{'lat': '37.4823266', 'lng': '126.9448119'}","['분식', '프랜차이즈', '포장']","{'average_rating': 4.5, 'count': 2, 'image_count': 2, 'reply_count': 0}",4.5,2.0,2.0,0.0,37.4823266,126.9448119
벌교꼬막&서해할매게장,"{'lat': '37.502771575328374', 'lng': '126.87668088139847'}","['한식', '1인분주문']","{'average_rating': 4.8, 'count': 88, 'image_count': 69, 'reply_count': 0}",4.8,88.0,69.0,0.0,37.502771575328374,126.87668088139847
요아정-파로스프라자점,"{'lat': '37.4640616', 'lng': '126.91939379'}","['카페/디저트', '포장', '프랜차이즈']","{'average_rating': 5.0, 'count': 11, 'image_count': 8, 'reply_count': 3}",5.0,11.0,8.0,3.0,37.4640616,126.91939379
안도중국식반찬,"{'lat': '37.4927807', 'lng': '126.8971124'}","['중국집', '분식', '아시안', '포장']","{'average_rating': 0.0, 'count': 0, 'image_count': 0, 'reply_count': 0}",0.0,0.0,0.0,0.0,37.4927807,126.8971124
"옥수동돼치집,돼지와김치의완벽한비율을찾다-금천점","{'lat': '37.4585232', 'lng': '126.89940598'}","['한식', '고기/구이', '도시락/죽', '포장', '프랜차이즈', '야식']","{'average_rating': 4.9, 'count': 60, 'image_count': 44, 'reply_count': 0}",4.9,60.0,44.0,0.0,37.4585232,126.89940598
빠삭한순살치킨을위해소스얹어주는집,"{'lat': '37.4961478', 'lng': '126.90573249'}","['분식', '야식', '치킨']","{'average_rating': 5.0, 'count': 247, 'image_count': 224, 'reply_count': 159}",5.0,247.0,224.0,159.0,37.4961478,126.90573249
제육깡패-금천점,"{'lat': '37.4766142', 'lng': '126.90294283'}","['한식', '고기/구이', '분식', '야식', '포장']","{'average_rating': 4.0, 'count': 5, 'image_count': 5, 'reply_count': 2}",4.0,5.0,5.0,2.0,37.4766142,126.90294283
피자애-대방점,"{'lat': '37.5087434569742', 'lng': '126.924517791525'}","['피자/양식', '야식', '프랜차이즈']","{'average_rating': 4.9, 'count': 698, 'image_count': 537, 'reply_count': 4}",4.9,698.0,537.0,4.0,37.5087434569742,126.924517791525
당신이선택한인생찜닭볶닭-봉천점,"{'lat': '37.4877201', 'lng': '126.95992422'}","['찜/탕', '한식', '포장']","{'average_rating': 4.9, 'count': 33, 'image_count': 26, 'reply_count': 0}",4.9,33.0,26.0,0.0,37.4877201,126.95992422
